Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Kofi Cockburn,31,31,850,25.8,0.571,0.532,0.004,0.577,399,14.3,21.7,18,5,1.2,5.3,14,24.7,2.6,1.7,4.3,0.205,4.3,2.2,6.5
Ayo Dosunmu,30,30,1006,19.8,0.549,0.52,0.242,0.252,466,2,12.4,7.3,21.8,1.5,0.6,15.2,26.5,2.4,1.5,3.9,0.154,4.3,2,6.3
Andres Feliz,31,15,830,20.2,0.542,0.492,0.234,0.392,344,4.1,16.8,10.5,21.5,1.6,0.1,12.3,21.6,2.4,1.4,3.7,0.179,3.9,2.8,6.6
Alan Griffin,28,1,506,26.2,0.641,0.615,0.635,0.202,226,11.2,17,14.1,7.4,1.5,1.2,10.1,21.4,2.1,0.8,3,0.235,9.9,2,11.9
Trent Frazier,31,30,944,10.6,0.476,0.424,0.627,0.259,268,0.8,7.3,4.1,11.3,1.8,0,8.7,17.1,1.4,1.2,2.6,0.111,0,2.7,2.7
Da'Monte Williams,31,22,670,9.2,0.482,0.433,0.613,0.4,101,2.7,16.2,9.5,10,1.9,1.7,19.8,8.3,0.4,1.2,1.6,0.094,-0.1,4.6,4.5
Giorgi Bezhanishvili,31,24,718,11,0.476,0.457,0.184,0.265,226,8.8,14.3,11.6,12.8,0.2,1.8,20.5,19.3,0.4,1,1.4,0.078,-0.4,1.6,1.2
Kipper Nichols,31,1,428,7.9,0.433,0.393,0.178,0.28,112,7.7,8.3,8,8,2.1,0.2,19.3,17.5,0,0.6,0.6,0.059,-2.7,2.3,-0.4
Jermaine Hamlin,16,0,66,13.4,0.691,0.75,0,0.75,16,13.7,8.5,11.1,2.7,1.8,3.1,31.5,12,0.1,0.1,0.2,0.111,-5.1,1,-4.1
Benjamin Bosmans-Verdonk,9,0,56,12.8,0.426,0.364,0.182,0.364,16,12.1,8,10,18.5,3.2,3.6,27.9,16,0,0.1,0.1,0.085,-2.4,3.2,0.8
Zach Griffith,8,0,19,21.6,0.612,0.667,0,1.333,6,11.9,11.7,11.8,9.6,0,0,0,12.9,0.1,0,0.1,0.197,4.1,-0.4,3.7
Tyler Underwood,14,1,48,5.6,0.396,0.333,0.667,0.556,10,0,7,3.5,17.1,0,0,8.1,12.9,0,0,0.1,0.071,-4.7,-0.4,-5.1
Samson Oladimeji,8,0,16,8.9,0.333,0.333,0.667,0,2,7.1,13.9,10.5,0,0,6.4,0,9.4,0,0,0,0.07,-1.4,1.6,0.2
Tevian Jones,14,0,67,-5.3,0.24,0.229,0.667,0.083,13,6.8,10,8.4,2.5,0,3,13.8,21.6,-0.2,0.1,-0.1,-0.062,-8.3,-1.1,-9.4
